ID,GEO_REFERENCIA,DATA_NASCIMENTO,PROFISSAO,GENERO,ESTADO_CIVIL,VALOR_01,VALOR_02,VALOR_03,VALOR_04,PERFIL
1,780,8/15/92,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),342.86,342.86,428.57,28.57,A
2,35,2/24/90,SERVIDOR PÚBLICO ESTADUAL,F,SOLTEIRO(A),942.86,0.00,0.00,0.00,A
3,54,7/17/87,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),2000.00,0.00,0.00,2857.14,A
4,35,4/27/88,BANCARIO E ECONOMIÁRIO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),857.14,285.71,0.00,1428.57,A
5,883,12/10/71,SERVIDOR PÚBLICO MUNICIPAL,M,CASADO(A) COM BRASILEIRO(A) NATO(A),8615.39,0.00,0.00,47471.79,A
6,78,6/22/86,AUTÔNOMO,M,SOLTEIRO(A),571.43,410.31,0.00,57.14,B
7,131,4/26/90,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,M,SOLTEIRO(A),342.86,0.00,0.00,0.00,A
8,97,9/6/90,ENGENHEIRO,M,SOLTEIRO(A),1428.57,0.00,0.00,0.00,A
9,351,1/14/75,TRABALHADOR METALÚRGICO E SIDERÚRGICO,M,SOLTEIRO(A),428.57,0.00,0.00,0.00,A
10,51,2/28/81,DIRETOR DE EMPRESAS,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2857.14,253215.08,0.00,76857.14,A
11,124,11/6/85,ENGENHEIRO,M,SOLTEIRO(A),2000.00,0.00,0.00,0.00,A
12,521,3/11/85,FARMACÊUTICO,F,CASADO(A) COM BRASILEIRO(A) NATO(A),1485.71,42.86,0.00,0.00,A
13,858,8/25/87,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1142.86,0.00,0.00,285.71,A
14,130,9/8/63,ENGENHEIRO,M,DESQUITADO(A),11142.86,0.00,0.00,71428.57,A
15,38,4/29/91,ENGENHEIRO,M,SOLTEIRO(A),1142.86,8601.97,0.00,5714.29,B
16,24,4/29/75,ANALISTA DE SISTEMAS,M,DIVORCIADO(A),1428.57,435448.71,0.00,0.00,B
17,28,12/4/55,APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO),M,CASADO(A) COM BRASILEIRO(A) NATO(A),857.14,44857.14,48571.43,1000.00,B
18,218,9/15/84,MILITAR EM GERAL,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1285.71,0.00,0.00,2000.00,A
19,301,12/13/90,ENGENHEIRO,M,SOLTEIRO(A),1428.57,0.00,0.00,0.00,A
20,354,8/6/88,ENGENHEIRO,M,SOLTEIRO(A),2428.57,21371.27,9705.71,1457.14,B
21,58,7/23/92,MECÂNICO DE MANUT DE VEÍCULOS AUTOS E MÁQUINAS,M,CASADO(A) COM BRASILEIRO(A) NATO(A),308.57,57.14,0.00,57.14,A
22,308,8/10/90,PSICÓLOGO,M,SOLTEIRO(A),600.00,28.57,0.00,0.00,A
23,273,11/27/78,PROPRIETÁRIO DE ESTABELECIMENTO COMERCIAL,M,CASADO(A) COM BRASILEIRO(A) NATO(A),500.00,17767.98,0.00,8571.43,A
24,85,4/18/77,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,M,SOLTEIRO(A),1428.57,0.00,0.00,2342.86,A
